_type,evt_block_time,evt_index,index,start,place_in_line,amount,price_per_pod,filled_beans,_from,_to,weather,yield_to_maturity,amount_classification
pod-listing-filled,2022-03-02T01:32:29+00:00,312,94235781.987404,0,71152432.009592,44444.444444,0.09,3999.99999996,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,,,"< 50,000 pods"
pod-listing-filled,2022-03-03T04:09:43+00:00,224,28278581.077376,0,5163808.802158,9392.830193,0.15,1408.92452895,\x88f09bdc8e99272588242a808052eb32702f88d0,,14.5800000000000000,2.1870000000000000,"< 10,000 pods"
pod-order-filled,2022-03-03T05:28:02+00:00,127,401405678.29034,0,378290906.015122,36511.874656,0.011,401.630621216,\xb4670077b4d680595b15872d79dee61ffcb8b15d,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,26.9499999996536827,0.29644999999619050969,"< 50,000 pods"
pod-listing-filled,2022-03-03T17:00:57+00:00,322,46868301.37475,0,23746404.459499,500,0.18,90.00,\x521415eec0f5bec71704aaaf9ae0afe70323ffab,,,,"< 10,000 pods"
pod-listing-filled,2022-03-03T17:40:40+00:00,696,46868801.37475,0,23746904.459499,17072.714466,0.18,3073.08860388,\x521415eec0f5bec71704aaaf9ae0afe70323ffab,,,,"< 25,000 pods"
pod-order-filled,2022-03-04T13:21:04+00:00,396,629670321.709709,0,606540023.761312,18284.6154,0.01,182.846154,\xa9b13316697deb755cd86585de872ea09894ef0f,\x0b8e605a7446801ae645e57de5aabbc251cd1e3c,,,"< 25,000 pods"
pod-listing-filled,2022-03-04T20:52:36+00:00,321,48209459.794464,0,25149162.500415,493.432238,0.21,103.62076998,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,,20.1199999995951719,4.2251999999149861,"< 10,000 pods"
pod-listing-filled,2022-03-05T03:00:28+00:00,232,36323537.232509,0,13191702.602772,12626.256958,0.38,4797.97764404,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 25,000 pods"
pod-listing-filled,2022-03-06T05:45:57+00:00,325,27998581.579668,0,4866746.949931,16250,0.49,7962.50,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 25,000 pods"
pod-listing-filled,2022-03-06T05:55:42+00:00,301,25058632.122103,0,1926797.492366,10000,0.73,7300.00,\xc6e76a8ca58b58a72116d73256990f6b54edc096,,12.5900000000000000,9.1907000000000000,"< 25,000 pods"
pod-listing-filled,2022-03-06T06:31:38+00:00,106,27783526.116217,0,4826746.949931,15093.059974,0.7,10565.1419818,\x8d06ffb1500343975571cc0240152c413d803778,,14.4400000000000000,10.1080000000000000,"< 25,000 pods"
pod-listing-filled,2022-03-06T06:33:30+00:00,166,48279953.88105,0,25148119.251313,12566.933733,0.21,2639.05608393,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,,,,"< 25,000 pods"
